;;;;;;;;;;;;;;;;;;;;;
129;22/08/1998;1;9;10;32;46;54;0;67;5320;0,00;15.634,41;196,51;;;0,00;0,00;5.440.490,00;Sim;Não;A MEGA,SENA EST, BIG ACUMULADA ! ! !
130;29/08/1998;13;29;38;42;49;53;0;155;11403;0,00;11.796,24;160,03;;;0,00;0,00;18.814.958,31;Sim;Não;
131;5/9/1998;4;9;17;27;30;44;0;361;21683;0,00;6.811,67;113,19;;;0,00;0,00;21.765.774,49;Sim;Não;
132;12/9/1998;7;9;35;41;44;50;0;143;12179;0,00;20.846,64;244,29;;;0,00;0,00;25.343.057,89;Sim;Não;A MEGA CONTINUA ACUMULADA , Previsão de Prêmio para o Conc.133 = 29.000.000,00
133;19/09/1998;5;6;19;34;39;57;1;431;29264;30.533.241,12;10.035,16;147,51;;;0,00;0,00;0,00;Não;Não;ESTADO CONTEMPLADO COM SENA: 01 MINAS GERAIS.
134;26/09/1998;4;25;32;36;52;60;0;82;4575;0,00;10.253,38;183,42;;;0,00;0,00;1.008.932,39;Sim;Não;
135;3/10/1998;21;22;35;40;53;59;0;40;3604;0,00;24.573,18;272,19;;;0,00;0,00;2.188.444,72;Sim;Não;A MEGA,SENA ESTÁ ACUMULADA ! ! !
136;10/10/1998;1;17;25;38;45;59;0;126;7403;0,00;8.435,36;143,29;;;0,00;0,00;3.463.871,17;Sim;Não;
137;17/10/1998;15;16;19;22;26;49;0;88;6701;0,00;12.675,49;166,13;;;0,00;0,00;4.802.402,93;Sim;Não;A MEGA,SENA ESTÁ ACUMULADA ! ! !
138;24/10/1998;5;14;27;37;40;41;0;86;6953;0,00;14.074,36;173,74;;;0,00;0,00;6.254.876,80;Sim;Não;
139;31/10/1998;3;13;26;27;41;42;2;179;9401;3.902.486,14;7.216,46;137,14;;;0,00;0,00;0,00;Não;Não;02 Ganhadores do Estado de SÃO PAULO (Taubaté e São Paulo,Capital)
140;7/11/1998;7;31;41;44;46;55;0;45;4945;0,00;36.581,33;332,24;;;0,00;0,00;16.453.628,31;Sim;Não;
141;14/11/1998;10;13;22;41;42;58;0;119;10533;0,00;20.106,10;226,70;;;0,00;0,00;19.324.778,90;Sim;Não;A MEGA,SENA ESTÁ ACUMULADA. PREVISÃO DO PRÊMIO: 23 Milhões. ! ! !
142;21/11/1998;8;15;19;20;54;59;0;162;13991;0,00;18.143,56;209,66;;;0,00;0,00;22.851.887,24;Sim;Não;A MEGA,SENA CONTINUA A C U M U L A A A D A !
143;28/11/1998;6;18;20;40;50;53;0;144;10994;0,00;24.792,99;324,10;;;0,00;0,00;27.136.115,88;Sim;Não;A MEGA ACUMULOU E A BOLADA ESTARÁ BEM MAIOR ! ! !
144;5/12/1998;8;32;36;44;45;55;1;257;23952;33.597.755,21;20.952,14;224,38;;;0,00;0,00;0,00;Não;Não;ESTADO CONTEMPLADO COM A SENA: RONDONIA , CIDADE PORTO VELHO.
145;12/12/1998;15;16;31;41;43;51;0;71;3389;0,00;15.061,27;314,91;;;0,00;0,00;1.283.220,59;Sim;Não;A C U M U L O U ! ! !
146;19/12/1998;25;32;34;42;51;60;0;51;4079;0,00;23.923,45;298,52;;;0,00;0,00;2.747.335,81;Sim;Não;
147;24/12/1998;6;16;23;24;28;38;1;75;5418;3.805.750,38;11.760,17;162,48;;;0,00;0,00;0,00;Não;Não;01 Ganhador da MEGA , Distrito Federal
148;31/12/1998;32;35;41;55;58;59;0;15;2322;0,00;53.660,04;345,95;;;0,00;0,00;965.880,61;Sim;Não;
149;9/1/1999;7;11;20;28;45;48;0;106;6290;0,00;9.795,13;164,74;;;0,00;0,00;2.211.820,94;Sim;Não;A MEGA ACUMULOU , O prêmio do CONC.150 pode chegar a 21,2 Milhões.
150;16/01/1999;12;44;50;52;54;55;0;56;5540;0,00;36.378,71;367,00;;;0,00;0,00;21.414.530,14;Sim;Não;
151;23/01/1999;3;16;20;43;52;56;1;152;9869;24.091.811,02;14.678,07;225,62;;;0,00;0,00;0,00;Não;Não;Ganhador da SENA do Estado do Rio Grande do Norte.
152;30/01/1999;5;12;15;29;51;58;0;75;5041;0,00;11.562,39;172,03;;;0,00;0,00;1.040.614,80;Sim;Não;A MEGA,SENA acumulou em mais de 1 milhão de reais.
153;6/2/1999;2;30;31;42;45;47;0;47;4218;0,00;22.846,45;254,57;;;0,00;0,00;2.329.154,62;Sim;Não;
154;13/02/1999;8;10;24;33;45;48;0;144;9252;0,00;7.888,29;122,78;;;0,00;0,00;3.692.251,60;Sim;Não;A MEGA ESTÁ ACUMULADA , Próximo Conc. 155, será dia 20/02/1999
155;20/02/1999;12;30;32;35;43;44;1;67;4974;4.988.808,21;16.126,32;217,22;;;0,00;0,00;0,00;Não;Não;Ganhador da SENA da cidade de Foz do Iguaçu , Estado do Paraná.
156;27/02/1999;17;23;42;49;52;55;0;74;4455;0,00;11.018,10;183,02;;;0,00;0,00;978.407,41;Sim;Não;A MEGA,SENA está A C U M U L A D A !!!
157;6/3/1999;4;13;17;21;41;44;1;134;8894;2.140.030,92;7.224,03;108,84;;;0,00;0,00;0,00;Não;Não;Ganhador da SENA do Estado de Goiás.
158;13/03/1999;4;14;17;43;51;58;0;31;3630;0,00;25.856,53;220,81;;;0,00;0,00;961.863,12;Sim;Não;A Mega,Sena A C U M U L O U !!!
159;20/03/1999;9;11;16;35;50;58;1;57;4124;2.038.170,67;15.735,49;217,49;;PR;0,00;0,00;0,00;Não;Não;Ganhador da SENA do Estado do Paraná.
160;27/03/1999;2;13;42;52;54;58;0;74;6132;0,00;19.431,89;234,50;;;0,00;0,00;11.251.511,63;Sim;Não;A MEGA está acumulada , o Prêmio do Concurso 161, poderá chegar a  13 Milhões
161;3/4/1999;6;25;30;37;39;41;0;95;6865;0,00;14.430,61;199,69;;;0,00;0,00;12.896.601,04;Sim;Não;
162;10/4/1999;21;23;33;38;48;51;0;92;7244;0,00;20.941,30;265,96;;;0,00;0,00;15.208.520,83;Sim;Não;
